제품명,브랜드,가격,사이즈,경도,특징,리뷰요약,리뷰본문
동서 리프레쉬,동서가구,3600000,퀸,미디엄,"메모리폼, 통기성 우수","허리 통증 완화, 꺼짐 없음","포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
동서 하이브리드탑,동서가구,3700000,킹,미디엄,"독립스프링, 복원력 우수, 통기성 우수","허리 통증 완화, 꺼짐 없음","포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
템퍼 엘리트 브리즈,템퍼,2200000,퀸,미디엄,"통기성 우수, 복원력 우수, 소음 적음","허리 통증 완화, 꺼짐 없음","처음에 포장을 뜯자마자 나는 냄새가 심해서 깜짝 놀랐어요. 2주 이상 창문 열어놓고 환기시켰고, 지금은 거의 안 납니다. 대신 지지력이나 쿠션감은 최고입니다."
동서 스마트폼,동서가구,1800000,싱글,미디엄,"소음 적음, 부드러운 쿠션감",복원력이 좋고 꺼짐이 없다,처음엔 너무 단단한 느낌이라 당황했는데 일주일 정도 자고 나니 익숙해졌어요. 이 가격에 이 정도면 만족합니다.
일룸 베이직소프트,일룸,3300000,킹,소프트,"스프링+폼 하이브리드, 복원력 우수",적당히 단단해서 좋음,"일룸 매트리스는 가격 대비 퀄리티가 좋아요. 너무 푹신하지도 않고, 단단하지도 않아서 자는 동안 뒤척임이 줄어든 걸 확실히 느껴요."
동서 뉴클래식,동서가구,2800000,퀸,하드,"부드러운 쿠션감, 체압분산, 진동흡수",복원력이 좋고 꺼짐이 없다,"포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
템퍼 슈프림,템퍼,1000000,싱글,하드,"복원력 우수, 체압분산",복원력이 좋고 꺼짐이 없다,"처음에 포장을 뜯자마자 나는 냄새가 심해서 깜짝 놀랐어요. 2주 이상 창문 열어놓고 환기시켰고, 지금은 거의 안 납니다. 대신 지지력이나 쿠션감은 최고입니다."
동서 펄화이트,동서가구,3800000,퀸,미디엄,"소음 적음, 스프링+폼 하이브리드, 부드러운 쿠션감","허리 통증 완화, 꺼짐 없음","가성비 좋은 제품 찾다가 동서가구로 결정했어요. 쿠션감이 생각보다 괜찮고, 배송도 빠르게 잘 왔습니다. 단점은 옆으로 움직일 때 소리가 조금 난다는 점이에요."
슬로우 듀얼서포트,슬로우슬립,1600000,킹,하드,"스프링+폼 하이브리드, 체압분산, 통기성 우수",복원력이 좋고 꺼짐이 없다,"처음 누웠을 때 몸이 싹 감기는 느낌이라 잠이 잘 왔어요. 너무 푹신하지 않아서 허리에도 부담이 덜했고, 통기성도 꽤 좋았습니다."
슬로우 리커버리,슬로우슬립,2100000,슈퍼싱글,하드,"메모리폼, 통기성 우수",푹신하고 지지력 좋음,친환경 매트리스라는 점이 마음에 들어 구매했는데 실제로도 쾌적하고 냄새가 없어서 좋았습니다. 다만 커버가 얇아서 보호패드 추가 사용 추천해요.
동서 하모니 플러스,동서가구,3400000,퀸,미디엄,"체압분산, 소음 적음","허리가 편하다, 소음이 적다","포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
템퍼 원 매트리스,템퍼,2200000,싱글,미디엄,"고급소재, 메모리폼",복원력이 좋고 꺼짐이 없다,"5년 가까이 사용 중인데 꺼짐도 거의 없고, 여전히 처음 같아요. 다만 너무 더울 땐 약간 답답하게 느껴질 때가 있습니다. 전반적으로 만족합니다."
일룸 에코라이트,일룸,3700000,킹,미디엄,"소음 적음, 스프링+폼 하이브리드",적당히 단단해서 좋음,일룸 침대 프레임이랑 함께 사용했는데 딱 맞고 안정감 있어요. 냄새도 거의 없고 바로 사용해도 문제 없었습니다.
슬로우 에어쿠션,슬로우슬립,1200000,킹,하드,"체압분산, 독립스프링, 소음 적음",푹신하고 지지력 좋음,"처음 누웠을 때 몸이 싹 감기는 느낌이라 잠이 잘 왔어요. 너무 푹신하지 않아서 허리에도 부담이 덜했고, 통기성도 꽤 좋았습니다."
템퍼 프레시 플러스,템퍼,3700000,싱글,하드,"부드러운 쿠션감, 독립스프링, 진동흡수",적당히 단단해서 좋음,"5년 가까이 사용 중인데 꺼짐도 거의 없고, 여전히 처음 같아요. 다만 너무 더울 땐 약간 답답하게 느껴질 때가 있습니다. 전반적으로 만족합니다."
슬로우 리프레쉬,슬로우슬립,2000000,퀸,소프트,"진동흡수, 소음 적음",푹신하고 지지력 좋음,친환경 매트리스라는 점이 마음에 들어 구매했는데 실제로도 쾌적하고 냄새가 없어서 좋았습니다. 다만 커버가 얇아서 보호패드 추가 사용 추천해요.
슬로우 베이직,슬로우슬립,3900000,퀸,하드,"복원력 우수, 체압분산",푹신하고 지지력 좋음,친환경 매트리스라는 점이 마음에 들어 구매했는데 실제로도 쾌적하고 냄새가 없어서 좋았습니다. 다만 커버가 얇아서 보호패드 추가 사용 추천해요.
슬로우 그린폼,슬로우슬립,2500000,퀸,미디엄,"부드러운 쿠션감, 소음 적음","숙면 가능, 복원력 좋음",슬로우 매트리스는 부드러우면서도 중간중간 단단한 지지감을 느낄 수 있어서 매우 만족스러웠어요. 자연 소재라 그런지 냄새도 거의 없고 쾌적합니다.
일룸 이지케어,일룸,2100000,퀸,하드,"스프링+폼 하이브리드, 진동흡수",냄새 적고 시원하다,"일룸 매트리스는 가격 대비 퀄리티가 좋아요. 너무 푹신하지도 않고, 단단하지도 않아서 자는 동안 뒤척임이 줄어든 걸 확실히 느껴요."
템퍼 센세이션 프리마,템퍼,2200000,슈퍼싱글,미디엄,"복원력 우수, 메모리폼","허리가 편하다, 소음이 적다","처음에는 딱딱하고 몸에 맞지 않는 것 같았는데, 2주 정도 지나고 나니 정말 숙면할 수 있게 되었어요. 허리 통증도 거의 사라졌고, 누울 때마다 몸이 싹 감싸지는 느낌이 듭니다."
템퍼 프로 어댑트,템퍼,3600000,킹,소프트,"부드러운 쿠션감, 고급소재, 스프링+폼 하이브리드","허리가 편하다, 소음이 적다","처음에는 딱딱하고 몸에 맞지 않는 것 같았는데, 2주 정도 지나고 나니 정말 숙면할 수 있게 되었어요. 허리 통증도 거의 사라졌고, 누울 때마다 몸이 싹 감싸지는 느낌이 듭니다."
동서 슬림매트,동서가구,1100000,슈퍼싱글,하드,"고급소재, 소음 적음, 메모리폼",가격대비 성능 좋음,"가성비 좋은 제품 찾다가 동서가구로 결정했어요. 쿠션감이 생각보다 괜찮고, 배송도 빠르게 잘 왔습니다. 단점은 옆으로 움직일 때 소리가 조금 난다는 점이에요."
템퍼 클라우드 엘리트,템퍼,3800000,슈퍼싱글,미디엄,"진동흡수, 부드러운 쿠션감",몸이 푹신하게 감싸진다,"5년 가까이 사용 중인데 꺼짐도 거의 없고, 여전히 처음 같아요. 다만 너무 더울 땐 약간 답답하게 느껴질 때가 있습니다. 전반적으로 만족합니다."
일룸 필로우탑,일룸,1000000,슈퍼싱글,소프트,"고급소재, 스프링+폼 하이브리드",가격대비 성능 좋음,일룸 침대 프레임이랑 함께 사용했는데 딱 맞고 안정감 있어요. 냄새도 거의 없고 바로 사용해도 문제 없었습니다.
슬로우 편백,슬로우슬립,2900000,킹,소프트,"체압분산, 독립스프링",가격대비 성능 좋음,"처음 누웠을 때 몸이 싹 감기는 느낌이라 잠이 잘 왔어요. 너무 푹신하지 않아서 허리에도 부담이 덜했고, 통기성도 꽤 좋았습니다."
동서 포켓스프링,동서가구,2700000,싱글,소프트,"스프링+폼 하이브리드, 메모리폼","숙면 가능, 복원력 좋음","포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
일룸 쿨에어폼,일룸,1000000,킹,소프트,"독립스프링, 체압분산","허리 통증 완화, 꺼짐 없음","슬립핏 모델을 사용 중인데, 처음 받았을 땐 높이가 생각보다 높아서 놀랐어요. 적응하고 나니 허리 지지해주는 느낌이 좋아요. 이불 깔고 자면 더 포근합니다."
템퍼 컴포트,템퍼,1600000,슈퍼싱글,소프트,"부드러운 쿠션감, 스프링+폼 하이브리드, 진동흡수",냄새 적고 시원하다,"5년 가까이 사용 중인데 꺼짐도 거의 없고, 여전히 처음 같아요. 다만 너무 더울 땐 약간 답답하게 느껴질 때가 있습니다. 전반적으로 만족합니다."
일룸 슬립핏,일룸,1600000,킹,소프트,"진동흡수, 메모리폼",적당히 단단해서 좋음,"슬립핏 모델을 사용 중인데, 처음 받았을 땐 높이가 생각보다 높아서 놀랐어요. 적응하고 나니 허리 지지해주는 느낌이 좋아요. 이불 깔고 자면 더 포근합니다."
일룸 에어셀,일룸,1000000,킹,미디엄,"스프링+폼 하이브리드, 체압분산, 고급소재",복원력이 좋고 꺼짐이 없다,일룸 침대 프레임이랑 함께 사용했는데 딱 맞고 안정감 있어요. 냄새도 거의 없고 바로 사용해도 문제 없었습니다.
